#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
        85   -1.4592718014e+01    2.1302745401e+02   -2.6635378458e+01    1.2042660444e+01    4.3935011978e+00   -3.1028879656e+01    1.6000000000e+01    5.0422549248e-04    6.1302083333e-01
        86   -1.4627281934e+01    2.1408737435e+02   -2.5557097770e+01    1.0929815836e+01    3.8624625972e+00   -2.9419560367e+01    1.6000000000e+01    4.8227608204e-04    6.0052083333e-01
        87   -1.4587596581e+01    2.1290900155e+02   -3.3965265950e+01    1.9377669369e+01    4.3981099451e+00   -3.8363375895e+01    1.6000000000e+01    4.5169889927e-04    5.9635416667e-01
        88   -1.4571683520e+01    2.1247387727e+02   -2.5222609353e+01    1.0650925833e+01    4.2005371606e+00   -2.9423146514e+01    1.6000000000e+01    4.3612718582e-04    5.9635416667e-01
        89   -1.4685834507e+01    2.1577203716e+02   -2.9412783757e+01    1.4726949250e+01    4.1454897253e+00   -3.3558273483e+01    1.6000000000e+01    4.5742094517e-04    6.1041666667e-01
        90   -1.4440380168e+01    2.0881243459e+02   -2.9869617029e+01    1.5429236861e+01    3.4953743945e+00   -3.3364991423e+01    1.6000000000e+01    4.2673945427e-04    6.0677083333e-01
        91   -1.4697670209e+01    2.1614018725e+02   -2.7754868049e+01    1.3057197840e+01    3.6851284300e+00   -3.1439996479e+01    1.6000000000e+01    4.6245753765e-04    6.1093750000e-01
        92   -1.4525100134e+01    2.1105752515e+02   -3.9550154659e+01    2.5025054525e+01    4.1669288738e+00   -4.3717083532e+01    1.6000000000e+01    4.5615434647e-04    6.0572916667e-01
        93   -1.4713784626e+01    2.1655599802e+02   -2.5777244676e+01    1.1063460051e+01    4.4729857101e+00   -3.0250230386e+01    1.6000000000e+01    4.4816732407e-04    5.8281250000e-01
        94   -1.4730972101e+01    2.1717608554e+02   -3.8574194537e+01    2.3843222436e+01    4.1985298167e+00   -4.2772724354e+01    1.6000000000e+01    4.3657422066e-04    5.9635416667e-01
        95   -1.4534237736e+01    2.1129561918e+02   -2.2624686522e+01    8.0904487864e+00    3.6665368139e+00   -2.6291223336e+01    1.6000000000e+01    4.4141709805e-04    5.9270833333e-01
        96   -1.4664215471e+01    2.1513877566e+02   -2.9485907269e+01    1.4821691798e+01    4.6663439612e+00   -3.4152251230e+01    1.6000000000e+01    5.0817430019e-04    6.1093750000e-01
        97   -1.4601490017e+01    2.1332039568e+02   -3.7615623754e+01    2.3014133738e+01    4.4716911201e+00   -4.2087314875e+01    1.6000000000e+01    4.5530498028e-04    5.8697916667e-01
        98   -1.4706546276e+01    2.1635018448e+02   -2.4682986090e+01    9.9764398137e+00    4.1169659959e+00   -2.8799952086e+01    1.6000000000e+01    4.6411156654e-04    6.0104166667e-01
        99   -1.4671385944e+01    2.1530114519e+02   -2.4475900587e+01    9.8045146434e+00    4.2521292263e+00   -2.8728029813e+01    1.6000000000e+01    4.6242773533e-04    6.0833333333e-01
       100   -1.4643709179e+01    2.1472758802e+02   -3.0687405536e+01    1.6043696356e+01    5.3485205927e+00   -3.6035926128e+01    1.6000000000e+01    4.8793852329e-04    6.2031250000e-01
       101   -1.4643355105e+01    2.1449007227e+02   -2.9392810982e+01    1.4749455877e+01    4.9335856775e+00   -3.4326396659e+01    1.6000000000e+01    4.7303736210e-04    6.0625000000e-01
       102   -1.4717604895e+01    2.1674438692e+02   -2.8540722974e+01    1.3823118079e+01    3.9524118910e+00   -3.2493134865e+01    1.6000000000e+01    4.5979022980e-04    5.8020833333e-01
       103   -1.4658873241e+01    2.1500642423e+02   -3.2177730232e+01    1.7518856991e+01    4.7234273835e+00   -3.6901157615e+01    1.6000000000e+01    4.4687092304e-04    6.0364583333e-01
       104   -1.4597299703e+01    2.1316011520e+02   -2.7170136133e+01    1.2572836429e+01    4.4540264483e+00   -3.1624162581e+01    1.6000000000e+01    4.5083463192e-04    5.9583333333e-01
       105   -1.4774684405e+01    2.1835655923e+02   -2.5420805900e+01    1.0646121495e+01    4.4181799833e+00   -2.9838985883e+01    1.6000000000e+01    4.6572089195e-04    6.1302083333e-01
       106   -1.4755157042e+01    2.1790853265e+02   -4.0726539085e+01    2.5971382043e+01    4.5264745114e+00   -4.5253013597e+01    1.6000000000e+01    4.5596063137e-04    5.9010416667e-01
       107   -1.4757618845e+01    2.1790485282e+02   -2.8486529159e+01    1.3728910315e+01    4.0919296245e+00   -3.2578458784e+01    1.6000000000e+01    4.6195089817e-04    5.8385416667e-01
       108   -1.4612287228e+01    2.1377899132e+02   -2.1697388876e+01    7.0851016480e+00    4.0959718723e+00   -2.5793360748e+01    1.6000000000e+01    4.6569108963e-04    6.0572916667e-01
